wid,age,country,gender,marital,parenthood
749,23,IND,m,single,n
750,33.0,USA,m,single,y
751,21,USA,m,single,n
752,32.0,USA,m,single,n
753,43,USA,m,married,y
754,50,USA,f,single,n
755,35,USA,m,divorced,n
756,30.0,USA,f,single,n
757,25,IND,m,single,n
758,34,IND,m,married,y
759,43.0,USA,f,married,y
760,42.0,USA,m,divorced,n
761,35,USA,f,married,y
762,38,USA,m,separated,n
763,35,NGA,m,single,n
764,31,USA,m,married,n
765,30.0,USA,m,single,n
766,21,USA,m,single,n
767,23.0,USA,m,single,n
768,53,USA,f,married,y
769,32.0,USA,f,married,y
770,53,USA,f,divorced,y
771,20.0,USA,m,single,n
772,34,USA,f,married,y
773,23.0,IND,f,single,n
774,43,USA,f,separated,y
775,26.0,USA,f,single,n
776,26,USA,f,married,n
777,31,VNM,m,single,n
778,36,USA,f,married,y
779,26,BRA,m,married,y
780,26,IND,m,single,n
781,22.0,USA,m,single,n
783,27,USA,f,single,y
784,22,USA,f,married,n
785,23.0,USA,m,single,n
786,30,USA,f,single,n
787,24.0,USA,m,single,n
788,29,USA,m,single,n
789,42,USA,m,single,n
790,28,IND,f,married,y
791,36,USA,m,divorced,y
792,28,USA,f,single,n
793,35.0,USA,f,divorced,y
794,37,USA,m,single,n
795,36.0,USA,f,married,n
796,20,IND,m,single,y
797,30,USA,m,married,n
798,39,USA,m,married,y
799,24,USA,f,single,n
800,34,USA,m,single,n
801,27,USA,m,single,n
802,40,IND,m,married,y
803,28,USA,m,single,n
804,25,USA,m,single,n
805,35.0,USA,m,single,n
806,26,USA,m,single,n
807,22,ALB,m,single,n
808,25.0,USA,m,single,n
809,30,USA,m,married,n
810,25,USA,m,single,n
811,38.0,USA,f,married,y
812,57,USA,f,married,y
813,25,USA,m,single,n
814,50,USA,f,single,n
815,24,USA,m,single,n
816,31,USA,f,single,n
817,29,USA,m,single,n
818,34,IND,m,married,y
819,35.0,AUS,f,married,y
820,24,USA,m,single,n
821,26,IND,m,single,n
822,31,USA,m,married,n
823,28,USA,m,married,y
824,26.0,IND,f,married,n
825,29,USA,m,single,n
826,27,USA,f,single,y
827,25.0,USA,m,single,n
828,49.0,USA,m,single,n
829,57.0,USA,f,married,n
830,26.0,USA,m,single,n
832,47,USA,f,separated,n
833,54,USA,f,married,y
834,25,USA,f,married,n
835,30,USA,m,single,n
836,27,USA,m,married,y
837,58.0,USA,f,divorced,y
838,37,USA,f,single,n
839,41,USA,m,single,n
840,38,USA,f,divorced,y
841,30.0,USA,f,married,y
842,27,USA,m,single,n
843,33.0,IND,f,married,y
844,19.0,USA,m,single,n
845,32.0,USA,f,married,y
846,28.0,USA,f,single,y
847,23,USA,m,single,n
848,30,USA,f,married,y
849,30.0,IND,f,married,y
850,24.0,USA,m,single,n
851,41,IND,m,married,y
852,27.0,IND,m,single,n
853,26,USA,m,single,n
854,29,USA,f,single,n
855,35.0,USA,f,married,y
856,29,IND,f,married,y
857,27,USA,f,single,n
858,26,USA,f,married,y
859,28.0,USA,m,married,y
860,45.0,USA,f,single,n
861,27,USA,f,single,n
862,23.0,USA,f,single,n
863,21,USA,f,single,n
864,20,IND,f,single,n
865,27.0,USA,m,single,n
866,37,USA,f,married,y
867,28,USA,m,single,n
868,24.0,IND,m,married,y
869,37,USA,f,single,y
870,33.0,USA,m,single,n
871,25,USA,f,single,n
872,32,USA,f,single,n
873,42,USA,m,married,y
874,36,USA,f,married,y
875,23.0,IND,f,married,n
876,26.0,IND,m,single,n
877,39,USA,m,married,n
878,28,USA,m,single,n
879,58,USA,f,divorced,y
880,25,USA,f,single,n
881,44,USA,f,single,n
882,38,USA,m,married,n
883,39.0,USA,m,single,n
884,22.0,USA,f,married,n
885,39,USA,m,married,y
886,29.0,USA,f,single,n
887,35.0,USA,m,single,n
888,23,USA,f,single,n
889,63.0,USA,f,married,y
890,43.0,USA,f,married,y
891,23,USA,f,single,n
892,28.0,USA,f,married,y
893,32,USA,m,married,y
894,32.0,USA,m,married,y
895,30,USA,f,married,y
896,35,USA,m,married,y
897,31.0,USA,f,single,n
898,41.0,USA,f,single,y
899,30,IND,m,married,n
900,30,IND,f,married,y
901,30,IND,m,married,n
902,33,USA,f,divorced,n
903,29.0,USA,m,single,n
904,25.0,IND,m,married,y
905,24,IDN,m,single,n
906,24.0,USA,m,single,n
907,35.0,IND,m,married,y
908,19,USA,m,single,n
909,29,USA,m,single,n
910,48.0,USA,m,married,y
911,32,USA,m,married,y
912,23.0,IND,f,single,n
913,21,IND,m,single,n
914,28,USA,m,single,n
915,26,USA,f,single,n
916,47.0,USA,m,married,y
917,24,USA,m,single,n
918,36,IND,m,married,n
919,26.0,USA,m,single,n
920,25.0,USA,m,married,n
921,28.0,USA,m,single,n
922,31,USA,f,single,n
923,28.0,USA,m,single,y
924,25,IND,f,married,y
925,28,USA,f,single,n
926,29.0,IND,m,single,n
927,34,USA,m,married,y
928,27,USA,m,single,n
929,25.0,USA,m,single,n
931,54,USA,f,married,n
932,21,IND,m,single,n
933,31,USA,m,single,n
934,24.0,MEX,f,single,n
935,24.0,USA,f,single,y
936,27.0,USA,m,married,n
937,34,TTO,m,single,y
938,27,USA,m,single,n
939,24,USA,f,single,n
940,27.0,USA,m,single,n
941,23.0,IND,m,single,n
942,32,USA,m,married,y
943,36,USA,f,single,n
944,51,USA,f,married,y
945,29,USA,m,married,n
946,23,IND,m,single,n
947,25,USA,m,single,n
948,40.0,USA,m,single,n
949,29,USA,m,married,n
950,25,GBR,f,single,n
951,28,IND,f,married,y
952,27.0,IND,f,single,n
953,30,USA,f,divorced,y
954,30.0,IND,m,married,n
955,30,IND,m,married,n
956,28.0,USA,m,single,n
957,32.0,USA,m,single,y
958,32.0,MEX,m,married,n
959,26.0,IND,f,married,n
960,22.0,USA,m,single,n
961,35,USA,m,married,y
962,25,NGA,f,married,y
963,32,IND,f,married,y
964,34,USA,f,married,n
965,21.0,IND,f,single,n
966,21.0,USA,m,single,n
967,29.0,USA,m,single,n
968,35,USA,m,single,n
969,23,USA,m,married,n
970,23,USA,f,single,n
971,34,USA,f,single,y
972,29.0,USA,m,single,y
973,32,IND,m,married,y
974,24.0,USA,m,single,n
975,29,IND,f,married,y
976,25,KWT,f,married,y
977,24,IND,m,single,n
978,33,USA,m,married,n
979,40,USA,f,married,n
980,30.0,USA,f,married,n
981,22,IND,m,single,n
982,35,USA,f,married,y
983,35,USA,m,married,y
984,35.0,USA,f,married,y
985,23,VEN,m,single,n
986,24,USA,f,single,n
987,28.0,USA,m,single,n
988,32,USA,m,married,y
989,27.0,USA,m,single,n
990,26,MEX,o,single,n
991,30,CAN,m,single,n
992,25.0,USA,f,single,n
993,30,USA,f,married,y
994,22.0,IND,m,single,n
995,30,USA,f,married,y
996,22.0,USA,m,single,n
997,26,USA,f,single,n
998,28,USA,m,single,y
999,29.0,USA,m,married,n
1000,31.0,USA,f,married,n
1001,30.0,USA,m,single,n
1002,36,USA,m,divorced,y
1003,26.0,USA,m,married,n
1004,33.0,USA,m,married,y
1005,27,USA,f,single,n
1006,27.0,USA,m,single,n
1007,34.0,USA,f,divorced,n
1008,21.0,USA,m,single,n
1009,30,USA,m,single,n
1010,27,USA,f,single,n
1011,67,USA,m,divorced,y
1012,44,USA,m,single,n
1013,22,USA,m,single,n
1014,23,USA,m,single,n
1015,29,USA,f,married,y
1016,33,USA,m,married,y
1017,30,USA,f,single,n
1018,34.0,USA,f,single,n
1019,33.0,USA,m,married,n
